Year,species,Sp,Allocated,Compensations,Allocated_plus_compensated,Transferedfrompreviousfishingyear,Annualcatchquota,Catchsubjecttoannualcatchquota,Status,Transformationofspecies,Newstatus,Transferabletonextfishingyear,Overfished,Unused,Recommended TAC,Ungutted Allocated,Gutted RTAC,%diff TAC RTAC,Conversion rate,Catch<TAC,Catch<TAC+PrY,Catch accounted for by previous year transfers,PrY%Catch,SpT%Catch,PrY+SpT%Catch,Sign SpT,SpT in CodEquivalent,Next year CR,Next year CR-CR,Case,PrY>SpT,%diff TACvsCatch,%diff RTACvsCatch,,
2002,14,Angler,1350,3,1353,0,1353,917,436,-328,108,95,7,19,,,,,2.05,TRUE,TRUE,0,0,-35.76881134,-35.76881134,Negative,-672.4,1.98,-0.07,1,TRUE,-32.37,,,
2003,14,Angler,1350,6,1356,95,1451,1236,215,-110,105,111,13,7,,,,,1.98,TRUE,TRUE,0,0,-8.899676375,-8.899676375,Negative,-217.8,1.68,-0.3,1,TRUE,-9.25,,,
2004,14,Angler,1800,15,1815,111,1926,1736,189,7,196,184,1,13,1500,2000,1350,25,1.68,TRUE,TRUE,0,0,0.403225806,0.403225806,Positive,11.76,1.59,-0.09,3,FALSE,-5.14,27.18,,
2005,14,Angler,1800,9,1809,184,1993,2210,-217,268,51,51,3,3,1500,2000,1350,25,1.59,FALSE,FALSE,184,8,12.12669683,20.45248869,Positive,426.12,1.6,0.01,4,FALSE,21.56,62.62,,
2006,14,Angler,2700,22,2722,51,2773,2578,195,66,261,259,1,3,2200,3000,1980,27,1.6,TRUE,TRUE,0,0,2.560124127,2.560124127,Positive,105.6,1.8,0.2,3,FALSE,-6.05,28.77,,
2007,14,Angler,2700,32,2732,259,2990,2442,549,-121,428,371,1,58,2200,3000,1980,27,1.8,TRUE,TRUE,0,0,-4.954954955,-4.954954955,Negative,-217.8,1.76,-0.04,1,TRUE,-11.65,21.37,,
2008,14,Angler,2250,39,2289,371,2660,2629,31,196,226,207,3,22,2200,2500,1980,12,1.76,FALSE,TRUE,340,13,7.4553062,20.38798022,Positive,344.96,1.34,-0.42,3,TRUE,12.93,30.21,,
2009,14,Angler,2700,57,2757,207,2963,3087,-124,283,160,175,16,1,2500,3000,2250,17,1.34,FALSE,FALSE,207,7,9.167476514,15.87301587,Positive,379.22,1.65,0.31,4,FALSE,9.7,33.81,,
2010,14,Angler,2250,346,2596,175,2771,2866,-95,201,106,106,1,1,2500,3200,1758,22,1.65,FALSE,FALSE,175,6,7.013258897,13.11933008,Positive,331.65,1.92,0.27,4,FALSE,-2.58,36.23,,
2011,14,Angler,2250,124,2374,106,2481,2197,283,-84,199,188,1,12,2500,3000,1875,17,1.92,TRUE,TRUE,0,0,-3.823395539,-3.823395539,Negative,-161.28,1.57,-0.35,1,TRUE,-12.05,9.9,,
2012,14,Angler,2223,753,2976,188,3165,2665,500,-284,217,188,1,30,2500,2850,1950,12,1.57,TRUE,TRUE,0,0,-10.65666041,-10.65666041,Negative,-445.88,1.74,0.17,1,TRUE,-28.53,-1.41,,
2013,14,Angler,1577,74,1651,188,1839,1710,128,-84,44,39,0,6,1500,1800,1314,17,1.74,FALSE,TRUE,59,3,-4.912280702,-1.461988304,Negative,-146.16,1.98,0.24,1,TRUE,-0.87,23.18,,
2014,14,Angler,1294,108,1402,39,1441,1260,181,-35,146,136,1,11,1500,1500,1294,0,1.98,TRUE,TRUE,0,0,-2.777777778,-2.777777778,Negative,-69.3,2.27,0.29,,TRUE,-16.56,-10.13,,
2015,14,Angler,852,59,911,136,1048,969,79,-11,67,60,0,8,1000,1000,852,0,2.27,FALSE,TRUE,58,6,-1.135190918,4.850361197,,-24.97,2.05,-0.22,,TRUE,-0.1,6.37,,
2016,14,Angler,852,56,908,60,969,819,149,-55,94,73,0,21,1000,1000,852,0,2.05,TRUE,TRUE,0,0,-6.715506716,-6.715506716,Negative,-113,2.17,0.12,,TRUE,-15.04,-9.8,,
2017,14,Angler,606,40,646,73,719,607,111,9,120,111,0,10,711,711,606,0,2.17,TRUE,TRUE,0,0,1.482701812,1.482701812,Positive,19.53,2.1,-0.07,,FALSE,-11.52,-6.04,,
2001,27,Cdab,5060,0,5060,700,5760,2111,3649,-3178,471,376,1,96,4000,5500,3680,27,0.5,TRUE,TRUE,0,0,-150.5447655,-150.5447655,Negative,-1589,0.45,-0.05,1,TRUE,-58.28,-42.64,,
2002,27,Cdab,3680,1,3681,376,4057,3503,555,-326,229,212,1,18,4000,4000,3680,0,0.45,TRUE,TRUE,0,0,-9.306308878,-9.306308878,Negative,-146.7,0.47,0.02,1,TRUE,-4.86,-4.84,,
2003,27,Cdab,6440,1,6441,212,6653,3924,2729,-1719,1010,845,1,166,7000,7000,6440,0,0.47,TRUE,TRUE,0,0,-43.80733945,-43.80733945,Negative,-807.93,0.47,0,1,TRUE,-39.09,-39.08,,
2004,27,Cdab,6440,1,6441,845,7286,3323,3962,-2316,1646,1205,0,441,7000,7000,6440,0,0.47,TRUE,TRUE,0,0,-69.69605778,-69.69605778,Negative,-1088.52,0.49,0.02,1,TRUE,-48.42,-48.41,,
2005,27,Cdab,4600,1,4601,1205,5806,2424,3382,-2477,905,626,0,279,5000,5000,4600,0,0.49,TRUE,TRUE,0,0,-102.1864686,-102.1864686,Negative,-1213.73,0.52,0.03,1,TRUE,-47.33,-47.32,,
2006,27,Cdab,3680,1,3681,626,4307,1148,3160,-2324,836,590,0,246,2500,4000,2300,38,0.52,TRUE,TRUE,0,0,-202.4390244,-202.4390244,Negative,-1208.48,0.48,-0.04,1,TRUE,-68.82,-50.11,,
2007,27,Cdab,1840,1,1841,590,2431,732,1699,-971,728,304,0,425,1000,2000,920,50,0.48,TRUE,TRUE,0,0,-132.6502732,-132.6502732,Negative,-466.08,0.38,-0.1,1,TRUE,-60.26,-20.52,,
2008,27,Cdab,1380,2,1382,304,1686,544,1142,-599,543,217,0,325,500,1500,460,67,0.38,TRUE,TRUE,0,0,-110.1102941,-110.1102941,Negative,-227.62,0.29,-0.09,1,TRUE,-60.69,17.75,,
2009,27,Cdab,920,1,921,217,1139,640,499,-423,76,74,0,2,500,1000,460,50,0.29,TRUE,TRUE,0,0,-66.09375,-66.09375,Negative,-122.67,0.27,-0.02,1,TRUE,-30.59,38.83,,
2010,27,Cdab,920,1,921,74,995,523,472,-421,52,45,0,7,500,1000,460,50,0.27,TRUE,TRUE,0,0,-80.49713193,-80.49713193,Negative,-113.67,0.24,-0.03,1,TRUE,-43.28,13.45,,
2011,27,Cdab,828,2,830,45,874,544,330,-258,72,66,0,6,500,900,460,44,0.24,TRUE,TRUE,0,0,-47.42647059,-47.42647059,Negative,-61.92,0.25,0.01,1,TRUE,-34.62,17.75,,
2012,27,Cdab,817,12,829,66,896,654,241,-154,87,56,0,32,500,900,454,44,0.25,TRUE,TRUE,0,0,-23.54740061,-23.54740061,Negative,-38.5,0.26,0.01,1,TRUE,-22.24,40.38,,
2013,27,Cdab,717,20,737,56,792,531,261,-133,128,50,0,79,500,800,448,38,0.26,TRUE,TRUE,0,0,-25.04708098,-25.04708098,Negative,-34.58,0.28,0.02,1,TRUE,-29.85,13.43,,
2014,27,Cdab,439,22,461,50,510,370,141,-85,56,29,0,27,500,500,439,0,0.28,TRUE,TRUE,0,0,-22.97297297,-22.97297297,Negative,-23.8,0.3,0.02,,TRUE,-23.4,-19.74,,
2015,27,Cdab,871,49,920,29,949,303,646,-170,476,101,0,376,1000,1000,871,0,0.3,TRUE,TRUE,0,0,-56.10561056,-56.10561056,Negative,-51,0.25,-0.05,,TRUE,-68.73,-67.07,,
2016,27,Cdab,435,25,460,101,561,293,267,-105,162,42,0,120,500,500,435,0,0.25,TRUE,TRUE,0,0,-35.83617747,-35.83617747,Negative,-26,0.19,-0.06,,TRUE,-39.59,-36.3,,
2017,27,Cdab,436,24,460,42,502,166,337,-89,248,106,0,142,500,500,436,0,0.19,TRUE,TRUE,0,0,-53.61445783,-53.61445783,Negative,-16.91,0.19,0,,TRUE,-65.7,-63.91,,
2001,1,Cod,154888,4516,159404,3889,163591,152481,11110,-758,10352,10395,89,46,220000,220000,154888,0,1,TRUE,TRUE,0,0,-0.497111115,-0.497111115,Negative,-758,1,0,1,TRUE,-6.98,-4.34,,
2002,1,Cod,152761,6124,158885,12788,171678,168542,3135,-79,3056,3732,754,78,190000,190000,152761,0,1,FALSE,TRUE,9657,6,-0.04687259,5.682856499,Negative,-79,1,0,1,TRUE,2.14,6.08,,
2003,1,Cod,142684,7679,150363,3732,154095,152363,1732,-47,1685,1818,174,41,179000,179000,142684,0,1,FALSE,TRUE,2000,1,-0.030847384,1.281807263,Negative,-47,1,0,1,TRUE,-3.59,1.33,,
2004,1,Cod,166383,8618,175001,1818,176820,172992,3827,-42,3785,3832,128,81,209000,209000,166383,0,1,TRUE,TRUE,0,0,-0.024278579,-0.024278579,Negative,-42,1,0,1,TRUE,-5.79,-1.15,,
2005,1,Cod,161870,8557,170427,3832,174259,170535,3724,-99,3625,3700,143,69,205000,205000,161870,0,1,FALSE,TRUE,108,0,-0.058052599,0.005277509,Negative,-99,1,0,1,TRUE,-4.72,0.06,,
2006,1,Cod,156302,8199,164501,3700,168200,164409,3791,-51,3740,3733,28,35,198000,198000,156302,0,1,TRUE,TRUE,0,0,-0.0310202,-0.0310202,Negative,-51,1,0,1,TRUE,-4.8,-0.06,,
2007,1,Cod,154755,3067,157822,3733,161556,152303,9253,-36,9218,9374,164,8,193000,193000,154755,0,1,TRUE,TRUE,0,0,-0.023637092,-0.023637092,Negative,-36,1,0,1,TRUE,-5.34,-3.5,,
2008,1,Cod,103019,5002,108021,9374,117395,111411,5984,-22,5962,5989,87,59,130000,130000,103019,0,1,FALSE,TRUE,3390,3,-0.019746704,3.023040813,Negative,-22,1,0,1,TRUE,-1.43,3.14,,
2009,1,Cod,128151,4792,132943,5989,138932,132451,6481,-60,6421,6455,50,16,124000,160000,99317,23,1,TRUE,TRUE,0,0,-0.045299771,-0.045299771,Negative,-60,1,0,1,TRUE,-3.84,27.22,,
2010,1,Cod,120297,5426,125723,6455,132179,130551,1627,-44,1583,1650,91,25,150000,155000,116416,3,1,FALSE,TRUE,4828,4,-0.033703304,3.664468292,Negative,-44,1,0,1,TRUE,-0.46,7.15,,
2011,1,Cod,123755,5754,129509,1650,131159,127353,3806,-83,3723,3861,178,40,160000,160000,123755,0,1,TRUE,TRUE,0,0,-0.06517318,-0.06517318,Negative,-83,1,0,1,TRUE,-5.85,-1.66,,
2012,1,Cod,134520,5754,140274,3861,144134,141613,2521,-174,2347,2435,119,31,177000,177000,134520,0,1,FALSE,TRUE,1339,1,-0.122870075,0.822664586,Negative,-174,1,0,1,TRUE,-3.02,0.95,,
2013,1,Cod,157342,5197,162539,2435,164974,165099,-125,-571,-696,-703,53,60,196000,195000,158149,-1,1,FALSE,FALSE,2435,1,-0.345853094,1.129019558,Negative,-571,1,0,2,TRUE,-1.57,1.07,,
2014,1,Cod,171170,5284,176454,-693,175761,176399,-638,-31,-669,-575,132,38,215000,214000,171970,0,1,TRUE,FALSE,-693,0,-0.017573796,-0.410433166,Negative,-31,1,0,,FALSE,-2.94,-0.48,,
2015,1,Cod,171824,1680,173504,-575,172929,174451,-1523,-24,-1547,-1488,98,39,218000,216000,173415,-1,1,FALSE,FALSE,-575,0,-0.013757445,-0.343362893,Negative,-24,1,0,,FALSE,-0.42,-0.37,,
2016,1,Cod,190120,7156,197276,-1488,195788,197395,-1608,-27,-1635,-1675,2,43,239000,239000,190120,0,1,FALSE,FALSE,-1488,-1,-0.013678158,-0.767496644,Negative,-27,1,0,,FALSE,-3.44,0.06,,
2017,1,Cod,194097,1077,195174,-1675,193499,185157,8342,-21,8321,8289,8,39,244000,244000,194097,0,1,TRUE,TRUE,0,0,-0.011341726,-0.011341726,Negative,-21,1,0,,TRUE,-5.65,-5.13,,
2001,2,Haddock,22431,301,22732,1287,24024,24347,-323,1193,870,845,9,33,30000,30000,22431,0,1.15,FALSE,FALSE,1287,5,4.899987678,10.18605988,Positive,1371.95,1.2,0.05,4,TRUE,5.7,7.1,,
2002,2,Haddock,33003,1453,34456,845,35301,34049,1252,1461,2713,2763,77,27,30000,41000,24149,27,1.2,TRUE,TRUE,0,0,4.290874916,4.290874916,Positive,1753.2,1.2,0,3,FALSE,-5.18,33,,
2003,2,Haddock,44239,2086,46325,2763,49089,45740,3349,-115,3234,2953,13,293,55000,55000,44239,0,1.2,TRUE,TRUE,0,0,-0.251421076,-0.251421076,Negative,-138,0.94,-0.26,1,TRUE,-5.52,-1.26,,
2004,2,Haddock,60405,2618,63023,2953,65976,65128,848,3368,4216,4110,19,124,75000,75000,60405,0,0.94,FALSE,TRUE,2105,3,5.17135487,8.403451664,Positive,3165.92,0.68,-0.26,3,FALSE,-0.78,3.34,,
2005,2,Haddock,72291,2697,74988,4110,79098,80565,-1468,4890,3423,3471,105,57,90000,90000,72291,0,0.68,FALSE,FALSE,4110,5,6.069633215,11.17110408,Positive,3325.2,0.75,0.07,4,FALSE,3.71,7.44,,
2006,2,Haddock,84267,2713,86980,3471,90452,83000,7451,900,8352,8299,15,68,105000,105000,84267,0,0.75,TRUE,TRUE,0,0,1.084337349,1.084337349,Positive,675,0.81,0.06,3,FALSE,-7.46,-4.58,,
2007,2,Haddock,84238,1208,85446,8299,93744,82046,11698,-21,11677,11553,10,134,95000,105000,76215,10,0.81,TRUE,TRUE,0,0,-0.025595398,-0.025595398,Negative,-17.01,0.82,0.01,1,TRUE,-5.32,5.97,,
2008,2,Haddock,79968,2244,82212,11553,93765,88891,4875,3429,8304,8188,8,124,95000,100000,75970,5,0.82,FALSE,TRUE,6679,8,3.857533384,11.37122993,Positive,2811.78,0.69,-0.13,3,TRUE,5.25,13.65,,
2009,2,Haddock,74330,2429,76759,8188,84947,71967,12980,-2082,10898,10885,12,25,83000,93000,66338,11,0.69,TRUE,TRUE,0,0,-2.892992622,-2.892992622,Negative,-1436.58,0.76,0.07,1,TRUE,-9.12,4.65,,
2010,2,Haddock,50235,2681,52916,10885,63802,54802,9000,-4774,4227,4212,7,21,57000,63000,45451,10,0.76,FALSE,TRUE,1886,3,-8.711360899,-5.269880661,Negative,-3628.24,0.95,0.19,1,TRUE,-1.43,13.86,,
2011,2,Haddock,39056,1458,40514,4212,44726,39715,5010,-1912,3098,3056,3,44,45000,50000,35150,10,0.95,TRUE,TRUE,0,0,-4.814301901,-4.814301901,Negative,-1816.4,0.89,-0.06,1,TRUE,-5.38,8.49,,
2012,2,Haddock,34757,1273,36030,3056,39086,39085,1,1603,1604,1599,5,9,37000,45000,28578,18,0.89,FALSE,TRUE,3055,8,4.101317641,11.91761545,Positive,1426.67,0.92,0.03,3,TRUE,4.78,30.93,,
2013,2,Haddock,28948,567,29515,1599,31115,31625,-510,1614,1103,1102,3,5,32000,36000,25732,11,0.92,FALSE,FALSE,1599,5,5.103557312,10.15968379,Positive,1484.88,1.15,0.23,4,FALSE,5.13,20.25,,
2014,2,Haddock,30380,-802,29578,1102,30679,30346,334,1983,2316,2307,3,12,38000,38000,30380,0,1.15,FALSE,TRUE,768,3,6.534633889,9.065445199,Positive,2280.45,1.3,0.15,,FALSE,5.46,2.6,,
2015,2,Haddock,24182,1317,25499,2307,27807,27841,-35,1930,1895,1870,1,26,30400,30400,24182,0,1.3,FALSE,FALSE,2307,8,6.932222262,15.21856255,Positive,2509,1.23,-0.07,,TRUE,3.82,9.18,,
2016,2,Haddock,28956,-964,27992,1870,29862,30923,-1061,2726,1665,1638,1,29,36400,36400,28956,0,1.23,FALSE,FALSE,1870,6,8.815444815,14.86272354,Positive,3352.98,1.04,-0.19,,FALSE,14.41,10.47,,
2017,2,Haddock,27523,532,28055,1638,29693,27818,1875,2464,4339,4312,0,27,34600,34600,27523,0,1.04,TRUE,TRUE,0,0,8.857574233,8.857574233,Positive,2562.56,1.07,0.03,,FALSE,-2.69,-0.84,,
2001,22,Halibut,18400,0,18400,88,18488,18566,-78,950,872,866,1,7,20000,20000,18400,0,1.65,FALSE,FALSE,88,0,5.116880319,5.590865022,Positive,1567.5,1.65,0,4,FALSE,0.9,0.9,,
2002,22,Halibut,18400,0,18400,866,19266,17713,1553,79,1633,1623,0,10,20000,20000,18400,0,1.65,TRUE,TRUE,0,0,0.446000113,0.446000113,Positive,130.35,1.62,-0.03,3,FALSE,-3.73,-3.73,,
2003,22,Halibut,21160,1,21161,1623,22783,18638,4146,-976,3170,3150,0,20,23000,23000,21160,0,1.62,TRUE,TRUE,0,0,-5.236613371,-5.236613371,Negative,-1581.12,1.44,-0.18,1,TRUE,-11.93,-11.92,,
2004,22,Halibut,21160,0,21160,3150,24310,14519,9791,-3424,6367,4186,0,2181,20000,23000,18400,13,1.44,TRUE,TRUE,0,0,-23.58289138,-23.58289138,Negative,-4930.56,1.64,0.2,1,TRUE,-31.38,-21.09,,
2005,22,Halibut,13800,1,13801,4186,17987,11990,5998,-3499,2499,2341,0,158,15000,15000,13800,0,1.64,TRUE,TRUE,0,0,-29.18265221,-29.18265221,Negative,-5738.36,2.04,0.4,1,TRUE,-13.13,-13.12,,
2006,22,Halibut,13800,4,13804,2341,16145,11660,4484,-2182,2302,2249,0,53,15000,15000,13800,0,2.04,TRUE,TRUE,0,0,-18.7135506,-18.7135506,Negative,-4451.28,1.98,-0.06,1,TRUE,-15.56,-15.53,,
2007,22,Halibut,13800,10,13810,2249,16060,9171,6889,-2548,4341,2662,0,1679,15000,15000,13800,0,1.98,TRUE,TRUE,0,0,-27.78322975,-27.78322975,Negative,-5045.04,1.67,-0.31,1,TRUE,-33.64,-33.59,,
2008,22,Halibut,13800,15,13815,2662,16477,8966,7511,-2521,4989,2603,0,2387,15000,15000,13800,0,1.67,TRUE,TRUE,0,0,-28.11733214,-28.11733214,Negative,-4210.07,1.23,-0.44,1,TRUE,-35.17,-35.1,,
2009,22,Halibut,13800,17,13817,2603,16420,14330,2090,-370,1720,1719,0,1,5000,15000,4600,67,1.23,FALSE,TRUE,513,4,-2.581995813,0.99790649,Negative,-455.1,1.94,0.71,1,TRUE,3.59,210.37,,
2010,22,Halibut,11040,11,11051,1719,12770,12951,-181,222,41,41,0,0,5000,12000,4600,58,1.94,FALSE,FALSE,1719,13,1.714153347,14.98725967,Positive,430.68,2.21,0.27,4,TRUE,17.08,180.87,,
2011,22,Halibut,11960,23,11983,41,12024,11247,776,-243,533,532,1,2,5000,13000,4600,62,2.21,TRUE,TRUE,0,0,-2.160576154,-2.160576154,Negative,-537.03,2.12,-0.09,1,TRUE,-6.32,143.28,,
2012,22,Halibut,11860,172,12032,532,12564,12092,472,-463,9,8,0,1,12000,13000,10948,8,2.12,FALSE,TRUE,60,0,-3.828977837,-3.332782005,Negative,-981.56,2.47,0.35,1,TRUE,-0.92,8.74,,
2013,22,Halibut,13148,419,13567,8,13575,12954,621,-695,-74,-74,0,0,20000,14700,17888,-36,2.47,TRUE,TRUE,0,0,-5.365138181,-5.365138181,Negative,-1716.65,2.67,0.2,1,TRUE,-7.38,-29.24,,
2014,22,Halibut,10933,618,11551,-74,11477,10971,505,-525,-20,-21,0,1,20000,12500,17493,-60,2.67,TRUE,TRUE,0,0,-4.785343177,-4.785343177,Negative,-1401.75,2.59,-0.08,,TRUE,-9.84,-39.42,,
2015,22,Halibut,12285,749,13034,-21,13013,10893,2119,-590,1529,1528,0,1,25000,14100,21782,-77,2.59,TRUE,TRUE,0,0,-5.416322409,-5.416322409,Negative,-1528.1,2.48,-0.11,,TRUE,-20.97,-51.65,,
2016,22,Halibut,10804,725,11529,1528,13056,12300,756,46,802,811,11,1,22000,12400,19168,-77,2.48,FALSE,TRUE,771,6,0.37398374,6.642276423,Positive,114.08,2.65,0.17,,TRUE,0.38,-38.17,,
2017,22,Halibut,11793,746,12539,811,13351,11152,2199,83,2283,2280,0,2,24000,13536,20910,-77,2.65,TRUE,TRUE,0,0,0.744261119,0.744261119,Positive,219.95,2.61,-0.04,,FALSE,-16.06,-48.5,,
2002,6,Ling,2400,5,2405,0,2405,2037,368,-116,252,176,5,81,3000,3000,2400,0,0.75,TRUE,TRUE,0,0,-5.694648994,-5.694648994,Negative,-87,0.88,0.13,1,TRUE,-15.48,-15.3,,
2003,6,Ling,2400,7,2407,176,2582,2507,75,150,226,167,3,63,3000,3000,2400,0,0.88,FALSE,TRUE,100,4,5.983246909,9.972078181,Positive,132,0.79,-0.09,3,FALSE,3.85,4.15,,
2004,6,Ling,2400,6,2406,167,2573,3037,-464,670,206,168,2,40,3000,3000,2400,0,0.79,FALSE,FALSE,167,5,22.06124465,27.5600922,Positive,529.3,0.56,-0.23,4,FALSE,25.91,26.23,,
2005,6,Ling,3199,6,3205,168,3373,3569,-196,460,265,225,4,43,4000,4000,3199,0,0.56,FALSE,FALSE,168,5,12.88876436,17.59596526,Positive,257.6,0.55,-0.01,4,FALSE,11.15,11.36,,
2006,6,Ling,4000,8,4008,225,4233,4682,-449,721,273,248,5,30,4500,5000,3600,10,0.55,FALSE,FALSE,225,5,15.39940196,20.20504058,Positive,396.55,0.6,0.05,4,FALSE,16.58,29.77,,
2007,6,Ling,4000,9,4009,248,4257,5287,-1030,1569,539,510,4,32,5000,5000,4000,0,0.6,FALSE,FALSE,248,5,29.67656516,34.36731606,Positive,941.4,0.64,0.04,4,FALSE,31.58,31.88,,
2008,6,Ling,5600,17,5617,510,6127,5387,740,204,944,835,0,110,6000,7000,4800,14,0.64,TRUE,TRUE,0,0,3.786894375,3.786894375,Positive,130.56,0.49,-0.15,3,FALSE,-4.38,11.83,,
2009,6,Ling,5600,24,5624,835,6459,7343,-883,1168,284,287,8,5,6000,7000,4800,14,0.49,FALSE,FALSE,835,11,15.90630532,27.27767942,Positive,572.32,0.48,-0.01,4,FALSE,30.01,52.22,,
2010,6,Ling,5600,13,5613,287,5900,7693,-1793,1880,88,84,6,10,6000,7000,4800,14,0.48,FALSE,FALSE,287,4,24.4378006,28.16846484,Positive,902.4,0.51,0.03,4,FALSE,36.74,59.84,,
2011,6,Ling,6000,17,6017,84,6101,7355,-1254,1548,294,296,9,7,7500,7500,6000,0,0.51,FALSE,FALSE,84,1,21.04690687,22.18898708,Positive,789.48,0.55,0.04,4,FALSE,21.89,22.24,,
2012,6,Ling,7126,95,7221,296,7517,7981,-464,615,151,142,2,11,8800,9000,6968,2,0.55,FALSE,FALSE,296,4,7.705801278,11.4146097,Positive,338.25,0.59,0.04,4,FALSE,9.09,13,,
2013,6,Ling,9003,220,9223,142,9365,8793,572,-376,196,187,1,10,12000,11500,9394,-4,0.59,TRUE,TRUE,0,0,-4.276128739,-4.276128739,Negative,-221.84,0.73,0.14,1,TRUE,-6.88,-8.54,,
2014,6,Ling,10394,427,10821,187,11007,9398,1609,-968,641,628,1,14,14000,13500,10779,-4,0.73,TRUE,TRUE,0,0,-10.30006384,-10.30006384,Negative,-706.64,0.76,0.03,,TRUE,-16.45,-16.13,,
2015,6,Ling,10455,612,11067,628,11694,9331,2364,-1269,1095,1024,0,71,14300,13800,10834,-4,0.76,TRUE,TRUE,0,0,-13.59982853,-13.59982853,Negative,-964.44,0.68,-0.08,,TRUE,-20.1,-18.48,,
2016,6,Ling,11364,654,12018,1024,13042,7808,5234,-2687,2548,1633,0,914,16200,15000,12273,-8,0.68,TRUE,TRUE,0,0,-34.41342213,-34.41342213,Negative,-1827.16,0.68,0,,TRUE,-38.38,-39.6,,
2017,6,Ling,6169,184,6353,1633,7986,5776,2210,-792,1418,1273,0,145,9343,8143,7078,-15,0.68,TRUE,TRUE,0,0,-13.71191136,-13.71191136,Negative,-538.56,0.73,0.05,,TRUE,-11.64,-20.46,,
2001,28,LRdab,4600,0,4600,310,4910,2583,2327,-2077,249,182,0,67,5000,5000,4600,0,0.5,TRUE,TRUE,0,0,-80.41037553,-80.41037553,Negative,-1038.5,0.5,0,1,TRUE,-43.85,-43.85,,
2002,28,LRdab,4600,2,4602,182,4784,2307,2477,-2133,344,306,1,39,5000,5000,4600,0,0.5,TRUE,TRUE,0,0,-92.45773732,-92.45773732,Negative,-1066.5,0.48,-0.02,1,TRUE,-49.89,-49.87,,
2003,28,LRdab,4601,2,4603,306,4909,1898,3011,-2150,861,470,0,390,5000,5000,4601,0,0.48,TRUE,TRUE,0,0,-113.2771338,-113.2771338,Negative,-1032,0.43,-0.05,1,TRUE,-58.78,-58.77,,
2004,28,LRdab,4600,2,4602,470,5072,1506,3567,-2039,1528,735,0,793,5000,5000,4600,0,0.43,TRUE,TRUE,0,0,-135.3917663,-135.3917663,Negative,-876.77,0.44,0.01,1,TRUE,-67.29,-67.28,,
2005,28,LRdab,4600,0,4600,735,5335,710,4625,-3277,1348,551,0,797,5000,5000,4600,0,0.44,TRUE,TRUE,0,0,-461.5492958,-461.5492958,Negative,-1441.88,0.45,0.01,1,TRUE,-84.57,-84.57,,
2006,28,LRdab,3220,0,3220,551,3771,582,3189,-2449,741,442,0,299,2000,3500,1840,43,0.45,TRUE,TRUE,0,0,-420.790378,-420.790378,Negative,-1102.05,0.46,0.01,1,TRUE,-81.93,-68.37,,
2007,28,LRdab,1380,1,1381,442,1822,239,1584,-975,609,240,0,369,500,1500,460,67,0.46,TRUE,TRUE,0,0,-407.9497908,-407.9497908,Negative,-448.5,0.29,-0.17,1,TRUE,-82.71,-48.16,,
2008,28,LRdab,920,1,921,240,1161,193,968,-480,488,152,0,336,500,1000,460,50,0.29,TRUE,TRUE,0,0,-248.7046632,-248.7046632,Negative,-139.2,0.26,-0.03,1,TRUE,-79.07,-58.13,,
2009,28,LRdab,920,0,920,152,1072,193,879,-745,134,110,0,24,250,1000,230,75,0.26,TRUE,TRUE,0,0,-386.0103627,-386.0103627,Negative,-193.7,0.34,0.08,1,TRUE,-79.02,-16.09,,
2010,28,LRdab,920,2,922,110,1032,119,913,-844,69,51,0,18,200,1000,184,80,0.34,TRUE,TRUE,0,0,-709.2436975,-709.2436975,Negative,-286.96,0.34,0,1,TRUE,-87.12,-36.02,,
