period,Sp,lease_exvessel,balance
2002,Witch,0.523160933,-0.465544992
2003,Witch,0.556143505,0.285355006
2004,Witch,0.465894413,0.794915902
2005,Witch,0.575140007,0.734741462
2006,Witch,0.589863767,-0.367669966
2007,Witch,0.368657946,-0.052424816
2008,Witch,0.25968245,-0.767484091
2009,Witch,0.235875318,-0.728270167
2010,Witch,0.498078765,-0.925340017
2011,Witch,0.537769969,-0.56357451
2012,Witch,0.527108041,0.206360211
2013,Witch,0.488565451,0.086550558
2014,Witch,0.541557572,-0.186524029
2015,Witch,0.464480211,0.526340465
2016,Witch,0.340597768,0.369594715
2017,Witch,0.313176729,0.45323138
2001,Cdab,,-0.983024435
2002,Cdab,0.480969377,-0.835700911
2003,Cdab,0.324573596,-0.9957891
2004,Cdab,0.14636818,-0.994683868
2005,Cdab,0.150254089,-0.995025639
2006,Cdab,0.169555991,-0.996563704
2007,Cdab,0.143025638,-0.998553807
2008,Cdab,0.155843522,-0.989995439
2009,Cdab,0.200326351,-0.773502639
2010,Cdab,0.648147018,-0.824141236
2011,Cdab,0.495571458,-0.796450633
2012,Cdab,0.501139431,-0.821792429
2013,Cdab,0.327374231,-0.890632844
2014,Cdab,0.272054188,-0.867666106
2015,Cdab,0.242298303,-0.996316888
2016,Cdab,0.285241658,-0.998402328
2017,Cdab,0.309058674,-0.998786353
2001,LRdab,,-0.970145002
2002,LRdab,0.489527984,-0.992586392
2003,LRdab,0.304301351,-0.964869686
2004,LRdab,0.156703885,-0.965659336
2005,LRdab,0.15145244,-0.98701098
2006,LRdab,0.160382664,-0.986926782
2007,LRdab,0.17476429,-0.962491806
2008,LRdab,0.194588679,-0.915233818
2009,LRdab,0.153192672,-0.94970323
2010,LRdab,0.513404211,-0.95176941
2011,LRdab,0.590744582,-0.937427758
2012,LRdab,0.398475989,-0.988330375
2013,LRdab,0.333040604,-0.965241369
2014,LRdab,0.269251497,-0.920673077
2015,LRdab,0.205663189,-0.282592025
2001,Lsole,,0.160044527
2002,Lsole,0.323719343,-0.78791109
2003,Lsole,0.253289838,-0.698222072
2004,Lsole,0.258225246,0.901219127
2005,Lsole,0.446245153,0.97025392
2006,Lsole,0.535993357,0.965043406
2007,Lsole,0.436556604,0.98899226
2008,Lsole,0.393978113,0.872675319
2009,Lsole,0.394686581,0.644367252
2010,Lsole,0.439354369,-0.506642768
2011,Lsole,0.399340186,-0.047987354
2012,Lsole,0.544989227,-0.02979707
2013,Lsole,0.51171341,0.140256382
2014,Lsole,0.535413769,-0.663197417
2015,Lsole,0.438283923,0.675760793
2016,Lsole,0.377874826,0.949366626
2017,Lsole,0.465567225,0.996900626
2001,Plaice,,0.650443234
2002,Plaice,0.66464719,-0.278588032
2003,Plaice,0.673044752,0.306523682
2004,Plaice,0.55723917,0.930773257
2005,Plaice,0.646793002,0.798953606
2006,Plaice,0.625702137,0.704066189
2007,Plaice,0.589839723,0.771735016
2008,Plaice,0.493209242,0.456163698
2009,Plaice,0.391143712,-0.570641453
2010,Plaice,0.540339785,-0.494486893
2011,Plaice,0.584628419,-0.853823378
2012,Plaice,0.478737235,-0.905244297
2013,Plaice,0.387615553,-0.870555011
2014,Plaice,0.36951497,-0.719787459
2015,Plaice,0.309603213,-0.838745354
2016,Plaice,0.324300723,0.82643332
2017,Plaice,0.294473308,-0.304921469
2011,Deep_redfish,0.420651191,0.022070137
2012,Deep_redfish,0.495322405,-0.153573206
2013,Deep_redfish,0.712117762,0.221741866
2014,Deep_redfish,0.673877844,-0.317636069
2015,Deep_redfish,0.458184413,-0.213524113
2016,Deep_redfish,0.355325659,-0.7244711
2017,Deep_redfish,0.201658525,-0.884622797
2014,small_redfish,,-0.989037441
2015,small_redfish,,-0.993194132
2016,small_redfish,,-0.999648722
2017,small_redfish,,-0.984742727
2014,argentine,0.424984158,-0.545775861
2015,argentine,0.17073249,-0.983023489
2016,argentine,0.280062422,-0.998034777
2017,argentine,0.096900719,-0.999504606
2001,Cod,,-1
2002,Cod,0.931724894,-1
2003,Cod,0.862297262,-1
2004,Cod,0.770707701,-1
2005,Cod,0.784704772,-1
2006,Cod,0.787755608,-1
2007,Cod,0.856482325,-1
2008,Cod,0.937829319,-1
2009,Cod,0.820837295,-1
2010,Cod,0.899513978,-1
2011,Cod,0.980725362,-1
2012,Cod,1.007241218,-1
2013,Cod,0.831409232,-1
2014,Cod,0.805079843,-1
2015,Cod,0.818691858,-1
2016,Cod,0.79156642,-1
2017,Cod,0.818641465,-1
